tan,rad,n,a1,midpoint,result
10,10,2,3.5,0.0,427.0362189429559
10,10,2,3.5,0.07999999999999999,563.7715391972639
10,10,2,3.5,0.16,771.8645371152
10,10,2,4.75,-0.16,742.5873816758512
10,10,2,4.75,-0.08,678.6373788467049
10,10,2,4.75,0.0,496.0402432540789
10,10,2,4.75,0.07999999999999999,650.5514988703039
10,10,2,4.75,0.16,795.7955645418286
10,10,2,6.0,-0.16,722.9434804341113
10,10,2,6.0,-0.08,750.7643331415721
10,10,2,6.0,0.0,539.5795373619485
10,10,2,6.0,0.07999999999999999,720.2132511877056
10,10,2,6.0,0.16,761.9009738974794
10,10,10,1.0,-0.16,619.0841748382679
10,10,10,1.0,-0.08,370.2154695193821
10,10,10,1.0,0.0,162.113668112821
10,10,10,1.0,0.07999999999999999,378.75441049405345
10,10,10,1.0,0.16,662.2441579392258
10,10,10,2.25,-0.16,744.3182142804967
10,10,10,2.25,-0.08,540.4583449776712
10,10,10,2.25,0.0,364.2222812607706
10,10,10,2.25,0.07999999999999999,342.25145368188134
10,10,10,2.25,0.16,470.88855064813526
10,10,10,3.5,-0.16,808.5282296096608
10,10,10,3.5,-0.08,650.817280976182
10,10,10,3.5,0.0,531.1977044475218
10,10,10,3.5,0.07999999999999999,549.364008209868
10,10,10,3.5,0.16,544.1526663128649
10,10,10,4.75,-0.16,862.3409277561367
10,10,10,4.75,-0.08,695.2736293905474
10,10,10,4.75,0.0,587.8457575396079
10,10,10,4.75,0.07999999999999999,671.478692408658
10,10,10,4.75,0.16,802.7854895773712
10,10,10,6.0,-0.16,914.7829897789785
10,10,10,6.0,-0.08,725.6787789731563
10,10,10,6.0,0.0,611.2944629216261
10,10,10,6.0,0.07999999999999999,718.7269678765645
10,10,10,6.0,0.16,911.4139337610205
10,10,20,1.0,-0.16,631.9109849701936
10,10,20,1.0,-0.08,369.7372720627415
10,10,20,1.0,0.0,162.12130184818145
10,10,20,1.0,0.07999999999999999,298.27859596814596
10,10,20,1.0,0.16,688.0658928761211
10,10,20,2.25,-0.16,735.708548758827
10,10,20,2.25,-0.08,540.3975850579392
10,10,20,2.25,0.0,364.6530498101274
10,10,20,2.25,0.07999999999999999,334.52286079832953
10,10,20,2.25,0.16,357.3626910570885
10,10,20,3.5,-0.16,792.9606019073976
10,10,20,3.5,-0.08,647.0281117560158
10,10,20,3.5,0.0,531.9781905576615
10,10,20,3.5,0.07999999999999999,544.665977634667
10,10,20,3.5,0.16,533.3219538407573
10,10,20,4.75,-0.16,839.2782217328554
10,10,20,4.75,-0.08,688.6628262087597
10,10,20,4.75,0.0,588.1400497147853
10,10,20,4.75,0.07999999999999999,664.8106411890155
10,10,20,4.75,0.16,789.9722464718833
10,10,20,6.0,-0.16,884.4235065312871
10,10,20,6.0,-0.08,716.20231713337
