parabola_slope,midpoint,Na_arc,Na_rad,N_col,max_mass,bridge_weight,max_L
4,0.16,2,2,2,8.057446295844269,0.00805163819355848,0.3535533905932738
4,0.16,2,2,10,11.033341755591533,0.019212449740339133,0.2968164415931166
4,0.16,2,2,20,10.92211232659138,0.0335857016587953,0.2968164415931166
4,0.16,2,10,2,83.24794875401243,0.10901218735575398,0.3535533905932738
4,0.16,2,10,10,286.27571040781106,0.38386099178875766,0.2968164415931166
4,0.16,2,10,20,291.68896406208665,0.7431518558291569,0.2968164415931166
4,0.16,2,20,2,318.21826893578816,0.4245139034876149,0.3535533905932738
4,0.16,2,20,10,1099.6949126779264,1.523387685690065,0.2968164415931166
4,0.16,2,20,20,1123.4070015521977,2.960546087611537,0.2968164415931166
4,0.16,10,2,2,32.1594909242226,0.10033040567676649,0.3535533905932738
4,0.16,10,2,10,68.31984405086097,0.11566270146005987,0.2968164415931166
4,0.16,10,2,20,91.0750946798765,0.13007638729952054,0.2968164415931166
4,0.16,10,10,2,797.539302124186,0.20129095483896198,0.3535533905932738
4,0.16,10,10,10,649.5391420345509,0.4803112435084783,0.2968164415931166
4,0.16,10,10,20,638.4798016316561,0.8396425414698823,0.2968164415931166
4,0.16,10,20,2,1768.6888342949771,0.5167926709708229,0.3535533905932738
4,0.16,10,20,10,1462.9583443046288,1.619837937409786,0.2968164415931166
4,0.16,10,20,20,1470.1978391217267,3.057036773252263,0.2968164415931166
4,0.16,20,2,2,31.560933620760387,0.3887015540617915,0.3535533905932738
4,0.16,20,2,10,94.43414257359137,0.41706973808418724,0.2968164415931166
4,0.16,20,2,20,152.36258803772984,0.4316097799267869,0.2968164415931166
4,0.16,20,10,2,908.7348012114545,0.48966210322398707,0.3535533905932738
4,0.16,20,10,10,1784.73736586812,0.7817182801326058,0.2968164415931166
4,0.16,20,10,20,1722.2011690365068,1.1411759340971483,0.2968164415931166
4,0.16,20,20,2,3190.157208496744,0.8051638193558479,0.3535533905932738
4,0.16,20,20,10,2598.1565681382035,1.9212449740339133,0.2968164415931166
4,0.16,20,20,20,2553.9192065266243,3.358570165879529,0.2968164415931166
6,-0.16,2,2,2,7.082269097033633,0.013947501474312209,0.535
6,-0.16,2,2,10,36.59131959115907,0.04860369252724146,0.535
6,-0.16,2,2,20,35.37694026125146,0.09192885089848962,0.535
6,-0.16,2,10,2,57.209270735812396,0.23105472783601297,0.535
6,-0.16,2,10,10,263.56228273743363,1.0924803949192006,0.535
6,-0.16,2,10,20,261.7522555707282,2.175350446021987,0.535
6,-0.16,2,20,2,213.85615085699615,0.9095148102163279,0.535
6,-0.16,2,20,10,972.846542569548,4.354595089894073,0.535
6,-0.16,2,20,20,969.1751159128713,8.686042930782918,0.535
6,-0.16,10,2,2,43.82348231398463,0.13158031049610447,0.535
6,-0.16,10,2,10,98.50034410038045,0.17121561078907746,0.535
6,-0.16,10,2,20,169.6097214152994,0.2147996773387428,0.535
6,-0.16,10,10,2,722.9434804341113,0.34868753685780524,0.535
6,-0.16,10,10,10,914.7829897789769,1.2150923131810365,0.535
6,-0.16,10,10,20,884.4235065312886,2.2982212724622393,0.535
6,-0.16,10,20,2,2059.234216494781,1.0271476192381201,0.535
6,-0.16,10,20,10,1624.0672496110953,4.477207008155909,0.535
6,-0.16,10,20,20,1591.8463668733914,8.808913757223168,0.535
6,-0.16,20,2,2,44.101339574070586,0.49918283868920527,0.535
6,-0.16,20,2,10,97.48459065389862,0.554377855357315,0.535
6,-0.16,20,2,20,167.78636264208933,0.598771009964534,0.535
6,-0.16,20,10,2,957.030516723512,0.7162900650509061,0.535
6,-0.16,20,10,10,2315.8893776795485,1.5982545577492742,0.535
6,-0.16,20,10,20,2830.271165783053,2.682192605088031,0.535
6,-0.16,20,20,2,2891.773921736445,1.394750147431221,0.535
6,-0.16,20,20,10,3659.1319591159076,4.860369252724146,0.535
6,-0.16,20,20,20,3537.6940261251543,9.192885089848957,0.535
6,0.0,2,2,2,3.277191739498616,0.01169834019329479,0.45069390943299864
6,0.0,2,2,10,24.451778516865033,0.03575149066570587,0.375
6,0.0,2,2,20,24.453754800616064,0.0660155473978609,0.375
6,0.0,2,10,2,3.2771917394986274,0.17482569581057747,0.45069390943299864
6,0.0,2,10,10,24.451778516864547,0.771220103912634,0.375
6,0.0,2,10,20,24.453754800614156,1.5275286688250527,0.375
6,0.0,2,20,2,3.277191739498571,0.6845986821145859,0.45069390943299864
